ID,Name,Age,Overall,Potential,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,ID,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys
20801,Cristiano Ronaldo,32,94,94,89,63,89,63,93,95,85,81,91,94,76,7,11,15,14,11,88,20801,29,95,77,92,22,85,95,96,83,94,23,91,92,31,80,85,88
158023,L. Messi,30,93,93,92,48,90,95,95,96,77,89,97,95,90,6,11,15,14,8,71,158023,22,68,87,88,13,74,93,95,88,85,26,87,73,28,59,90,85
190871,Neymar,25,92,94,94,56,96,82,95,92,75,81,96,89,84,9,9,15,15,11,62,190871,36,61,75,77,21,81,90,88,81,80,33,90,78,24,53,80,83
176580,L. Suárez,30,92,92,88,78,86,60,91,83,77,86,86,94,84,27,25,31,33,37,77,176580,41,69,64,86,30,85,92,93,83,87,38,77,89,45,80,84,88
167495,M. Neuer,31,92,92,58,29,52,35,48,70,15,14,30,13,11,91,90,95,91,89,25,167495,30,78,59,16,10,47,12,85,55,25,11,61,44,10,83,70,11
188545,R. Lewandowski,28,91,91,79,80,78,80,89,87,62,77,85,91,84,15,6,12,8,10,85,188545,39,84,65,83,25,81,91,91,83,88,19,83,79,42,84,78,87
193080,De Gea,26,90,92,57,38,60,43,42,64,17,21,18,13,19,90,85,87,86,90,21,193080,30,67,51,12,13,40,12,88,50,31,13,58,40,21,64,68,13
183277,E. Hazard,26,90,91,93,54,93,91,92,87,80,82,93,83,79,11,12,6,8,8,57,183277,41,59,81,82,25,86,85,85,86,79,22,87,79,27,65,86,79
182521,T. Kroos,27,90,90,60,60,71,69,89,85,85,85,79,76,84,10,11,13,7,10,54,182521,85,32,93,90,63,73,79,86,90,87,69,52,77,82,74,88,82
167664,G. Higuaín,29,90,90,78,50,75,69,85,86,68,74,84,91,62,5,12,7,5,10,86,167664,20,79,59,82,12,70,92,88,75,88,18,80,72,22,85,70,88
155862,Sergio Ramos,31,90,90,75,84,79,60,84,80,66,73,61,60,67,11,8,9,7,11,91,155862,88,93,72,55,86,68,52,85,78,79,91,77,84,89,81,63,66
192985,K. De Bruyne,26,89,92,76,68,80,75,87,84,90,83,85,83,83,15,13,5,10,13,53,192985,56,65,84,86,30,77,84,88,90,85,40,75,87,51,73,90,82
192119,T. Courtois,25,89,92,46,23,61,45,23,52,14,19,13,14,11,85,91,69,86,88,13,192119,15,68,31,17,11,27,13,81,32,36,16,52,38,18,70,44,12
184941,A. Sánchez,28,89,89,88,80,90,87,87,86,80,78,90,85,78,10,10,15,12,13,70,184941,42,85,73,82,30,77,86,87,81,84,35,84,85,39,72,83,83
177003,L. Modrić,31,89,89,75,62,93,94,92,84,78,79,86,71,77,13,9,7,14,9,55,177003,76,67,83,82,66,80,79,88,92,73,73,71,82,80,58,90,74
173731,G. Bale,27,89,89,93,65,77,65,87,85,87,86,89,87,85,15,15,11,5,6,86,173731,59,85,80,90,51,76,86,87,86,91,52,95,76,55,80,79,76
153079,S. Agüero,29,89,89,90,63,86,91,89,90,70,82,89,90,72,13,15,6,11,14,68,153079,24,80,63,83,13,83,91,89,79,88,12,84,74,20,74,83,85
138956,G. Chiellini,32,89,89,68,92,59,64,57,82,58,60,58,33,31,3,3,2,4,3,84,138956,88,89,59,49,92,50,28,82,59,78,90,78,68,92,91,50,45
1179,G. Buffon,39,89,89,49,38,55,49,28,70,13,20,26,15,13,89,88,74,90,84,13,1179,28,75,35,13,10,22,12,80,37,39,11,43,39,11,69,50,17
211110,P. Dybala,23,88,93,88,48,91,85,93,84,80,88,92,85,84,5,4,4,5,8,68,211110,24,75,71,88,14,86,84,84,83,82,20,84,83,20,65,84,88
200389,J. Oblak,24,88,93,43,34,67,49,16,55,13,13,12,11,14,84,90,77,87,84,15,200389,19,76,26,12,14,11,11,84,29,22,18,60,41,12,78,55,13
194765,A. Griezmann,26,88,91,87,69,90,80,86,86,82,84,87,88,75,14,8,14,13,14,80,194765,35,87,75,82,23,71,91,90,79,81,11,86,76,22,61,76,87
189509,Thiago,26,88,90,77,57,90,86,92,83,72,85,90,69,77,6,11,7,9,13,58,189509,78,75,90,82,49,75,83,84,91,75,62,68,75,64,59,86,90
188567,P. Aubameyang,28,88,88,95,43,77,70,82,84,77,78,82,88,74,6,9,15,9,9,79,188567,48,77,64,79,28,79,89,87,77,81,36,96,79,25,77,77,86
184344,L. Bonucci,30,88,88,62,82,60,52,75,84,44,56,69,39,61,2,2,3,2,4,88,184344,90,85,85,65,84,70,38,86,79,74,88,72,73,88,85,74,58
183907,J. Boateng,28,88,88,72,82,58,53,71,86,69,56,67,34,31,7,12,15,6,5,85,183907,83,75,80,58,88,46,47,82,75,79,90,78,74,91,91,76,53
182493,D. Godín,31,88,88,62,86,63,58,76,82,55,49,53,42,51,6,8,15,5,15,92,182493,88,89,70,43,87,50,48,85,79,67,89,67,67,86,80,52,47
178603,M. Hummels,28,88,88,62,66,64,58,77,91,64,65,68,55,53,15,6,10,5,6,89,178603,89,68,85,51,85,68,56,85,80,71,90,65,66,92,85,79,60
176635,M. Özil,28,88,88,75,48,83,70,90,78,82,84,86,74,79,6,14,10,6,14,54,176635,24,52,84,76,22,67,83,87,89,70,19,68,69,16,57,92,77
167948,H. Lloris,30,88,88,65,31,55,54,34,61,13,11,10,10,10,88,86,68,82,90,10,167948,27,74,50,14,12,40,10,85,50,23,18,63,41,10,43,30,11
164240,Thiago Silva,32,88,88,70,77,74,68,80,83,60,61,68,38,67,9,12,5,9,10,82,164240,89,93,81,71,90,71,59,84,79,74,88,74,74,89,81,74,63
41236,Z. Ibrahimović,35,88,88,63,84,81,41,88,91,76,82,82,87,82,13,15,10,9,12,80,41236,20,69,76,85,15,91,86,86,84,91,27,67,71,41,88,83,90
9014,A. Robben,33,88,88,87,47,89,91,89,86,80,87,92,85,81,10,8,11,5,15,51,9014,39,61,71,88,29,80,85,87,84,87,26,86,68,26,67,83,86
215914,N. Kanté,26,87,90,82,90,83,90,79,84,67,49,77,65,49,15,12,10,7,10,54,215914,91,79,79,66,75,54,71,87,84,72,85,80,94,89,77,76,56
199556,M. Verratti,24,87,91,69,89,87,94,88,91,72,73,90,58,64,12,12,15,15,10,55,199556,86,64,89,58,76,64,71,87,90,56,79,62,77,84,56,88,64
195864,P. Pogba,24,87,92,72,75,76,61,89,85,78,84,86,71,82,5,6,2,4,3,73,195864,68,85,88,82,66,76,83,84,86,90,66,76,91,68,91,86,85
190460,C. Eriksen,25,87,91,77,44,78,82,87,87,86,85,84,76,87,9,14,7,7,6,52,190460,55,57,86,84,38,67,81,83,89,80,22,74,90,56,57,90,74
181872,A. Vidal,30,87,87,76,93,75,77,83,86,76,76,76,77,68,4,2,4,2,4,81,181872,85,82,82,85,76,81,80,89,84,86,85,74,91,89,77,80,78
179813,E. Cavani,30,87,87,75,84,81,59,80,83,70,75,80,83,74,12,5,13,13,10,88,179813,48,88,50,78,24,84,92,91,78,85,27,78,92,45,74,77,84
176676,Marcelo,29,87,87,77,84,77,82,88,85,90,80,84,67,67,12,5,5,5,9,71,176676,83,77,76,66,80,59,75,87,82,83,87,79,81,85,77,75,54
171877,M. Hamšík,29,87,87,72,56,76,66,87,84,78,80,86,78,72,8,6,4,14,14,74,171877,72,71,82,83,60,70,88,88,88,82,62,75,85,73,69,86,79
168651,I. Rakitić,29,87,87,67,67,72,66,87,81,81,88,84,83,84,14,11,12,5,9,58,168651,69,44,92,88,52,78,80,79,87,84,53,64,76,65,63,87,80
168542,David Silva,31,87,87,72,51,92,89,90,92,83,82,84,71,75,1,1,1,1,1,54,168542,43,66,79,73,25,73,81,84,91,71,29,65,78,44,56,92,79
